barrier_max_J,chirp_margin,compliance,compliance_identity_relerr,compliance_pass,coupling_pass,gate_energy_J,ghat,lambda,lambda_pass,radiation_threshold_pass,sigma,sigma_energy,threshold_Hz,total_control_inventory_J
5.385341731234816e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1803321662207.348,7.943282347242822e-09,2.3660900418007287e-20,True,False,80.0,98.65809608852153,6183868704.255293,1803321662207.348
6.042452805167958e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1607212123199.2012,8.413951416451965e-09,2.6547966914405262e-20,True,False,80.0,98.65809608852153,6183868704.255293,1607212123199.2012
6.779743556647071e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1432429312581.2266,8.912509381337441e-09,2.9787308802160463e-20,True,False,80.0,98.65809608852153,6183868704.255293,1432429312581.2266
7.606997385992853e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1276653968648.2925,9.440608762859226e-09,3.34219101800154e-20,True,False,80.0,98.65809608852153,6183868704.255293,1276653968648.2925
8.535191448910792e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1137819047229.9583,1e-08,3.75e-20,True,False,80.0,98.65809608852153,6183868704.255293,1137819047229.9583
9.57664231667824e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,1014082293270.1432,1.0592537251772898e-08,4.20756920363237e-20,True,False,80.0,98.65809608852153,6183868704.255293,1014082293270.1432
1.074516940956211e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,903801795221.8335,1.1220184543019653e-08,4.7209702942281425e-20,True,False,80.0,98.65809608852153,6183868704.255293,903801795221.8335
1.2056278372129589e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,805514197878.4244,1.188502227437019e-08,5.2970157923353327e-20,True,False,80.0,98.65809608852153,6183868704.255293,805514197878.4244
1.3527366823730998e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,717915284539.1992,1.2589254117941661e-08,5.943349471729165e-20,True,False,80.0,98.65809608852153,6183868704.255293,717915284539.1992
1.5177955214338343e-08,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,639842670846.1151,1.333521432163324e-08,6.66854778764596e-20,True,False,80.0,98.65809608852153,6183868704.255293,639842670846.1151
