radius_m,radius_mpc,attractive_acceleration_m_s2,lambda_acceleration_m_s2,net_acceleration_m_s2
1.800338074685245751e+21,5.834498346438087013e-02,-4.094648575216816349e-11,5.883873681120815966e-15,-4.094060187848704018e-11
1.804490361102477033e+21,5.847954990262891478e-02,-4.075825984279744635e-11,5.897444203852271942e-15,-4.075236239859359425e-11
1.808652224322383118e+21,5.861442670391463217e-02,-4.057089918455410556e-11,5.911046025536964605e-15,-4.056498813852856773e-11
1.812823686432831570e+21,5.874961458405706521e-02,-4.038439979998617113e-11,5.924679218362568525e-15,-4.037847512076780616e-11
1.817004769572633706e+21,5.888511426052622094e-02,-4.019875772992547296e-11,5.938343854683256046e-15,-4.019281938607078703e-11
1.821195495931658371e+21,5.902092645244677582e-02,-4.001396903340377257e-11,5.952040007020062525e-15,-4.000801699339675135e-11
1.825395887750955926e+21,5.915705188060209341e-02,-3.983002978756889464e-11,5.965767748061301274e-15,-3.982406401982083533e-11
1.829605967322873856e+21,5.929349126743793663e-02,-3.964693608760144681e-11,5.979527150662928016e-15,-3.964095656045078361e-11
1.833825756991170806e+21,5.943024533706621482e-02,-3.946468404663221142e-11,5.993318287848925843e-15,-3.945869072834436046e-11
1.838055279151142142e+21,5.956731481526902905e-02,-3.928326979565925944e-11,6.007141232811705964e-15,-3.927726265442645077e-11
1.842294556249736086e+21,5.970470042950241224e-02,-3.910268948346599502e-11,6.020996058912495819e-15,-3.909666848740708515e-11
1.846543610785668530e+21,5.984240290890011083e-02,-3.892293927653949715e-11,6.034882839681708273e-15,-3.891690439369981402e-11
1.850802465309549658e+21,5.998042298427761626e-02,-3.874401535898891969e-11,6.048801648819356548e-15,-3.873796655734010107e-11
1.855071142424000332e+21,6.011876138813598142e-02,-3.856591393246458917e-11,6.062752560195439194e-15,-3.855985117990439525e-11
1.859349664783768748e+21,6.025741885466560227e-02,-3.838863121607749684e-11,6.076735647850310851e-15,-3.838255448042964870e-11
1.863638055095856792e+21,6.039639611975029104e-02,-3.821216344631878434e-11,6.090750985995109021e-15,-3.820607269533278944e-11
1.867936336119637737e+21,6.053569392097109952e-02,-3.803650687697996592e-11,6.104798649012127993e-15,-3.803040207833095655e-11
1.872244530666973692e+21,6.067531299761014241e-02,-3.786165777907357086e-11,6.118878711455204592e-15,-3.785553890036211673e-11
1.876562661602343780e+21,6.081525409065469817e-02,-3.768761244075363718e-11,6.132991248050144163e-15,-3.768147944950558388e-11
1.880890751842958705e+21,6.095551794280101160e-02,-3.751436716723721349e-11,6.147136333695085029e-15,-3.750822003090352089e-11
1.885228824358888145e+21,6.109610529845833221e-02,-3.734191828072571219e-11,6.161314043460920528e-15,-3.733575696668225416e-11
1.889576902173175841e+21,6.123701690375269596e-02,-3.717026212032706406e-11,6.175524452591674512e-15,-3.716408659587447333e-11
1.893935008361969091e+21,6.137825350653110246e-02,-3.699939504197773061e-11,6.189767636504926544e-15,-3.699320527434122430e-11
1.898303166054637765e+21,6.151981585636537297e-02,-3.682931341836551133e-11,6.204043670792192917e-15,-3.682310937469471647e-11
1.902681398433893581e+21,6.166170470455604319e-02,-3.666001363885261589e-11,6.218352631219326604e-15,-3.665379528622139495e-11
1.907069728735920390e+21,6.180392080413654038e-02,-3.649149210939878805e-11,6.232694593726937725e-15,-3.648525941480505797e-11
1.911468180250493714e+21,6.194646490987708309e-02,-3.632374525248511458e-11,6.247069634430784032e-15,-3.631749818285068521e-11
1.915876776321100808e+21,6.208933777828858080e-02,-3.615676950703824774e-11,6.261477829622163759e-15,-3.615050802920862800e-11
1.920295540345072255e+21,6.223254016762686663e-02,-3.599056132835447914e-11,6.275919255768347133e-15,-3.598428540909870897e-11
1.924724495773701243e+21,6.237607283789659701e-02,-3.582511718802471192e-11,6.290393989512965280e-15,-3.581882679403520073e-11
1.929163666112366248e+21,6.251993655085520685e-02,-3.566043357385958793e-11,6.304902107676410965e-15,-3.565412867175191428e-11
1.933613074920660795e+21,6.266413207001712837e-02,-3.549650698981477008e-11,6.319443687256262214e-15,-3.549018754612751363e-11
1.938072745812516930e+21,6.280866016065778101e-02,-3.533333395591677396e-11,6.334018805427686997e-15,-3.532699993711134748e-11
1.942542702456325800e+21,6.295352158981748492e-02,-3.517091100818924538e-11,6.348627539543836871e-15,-3.516456238064970085e-11
