sample_index,g,m_gev,mmax_gev,alpha,epsilon,static_response_ratio,reversal_fractional_bandwidth,required_q,pole_frequency_hz_20cm,linewidth_hz_20cm
3790547,0.029786650297692677,883994640372.9955,887244535957.0353,0.02503635827883101,8.618149067974864e-06,1.0000000000742726,3.713629403989671e-11,26927835042.604626,1124392.8739694678,4.175578438409468e-05
779475,0.030755290741341472,912592919322.2817,945887908584.4445,0.6474792399922473,8.61674606517253e-06,1.0000000000742484,3.712430363123076e-11,26936532195.54943,5903962.630835523,0.0002191805013345779
4271699,0.0322797090674132,957224916322.2538,1000000000000.0,0.15909643484586666,8.611333708649507e-06,1.0000000000741551,3.70776742641965e-11,26970407929.97189,3071642.5469219773,0.00011388936181082
7446227,0.030104069331493528,892449192934.1371,906254990315.3693,0.013791556645466259,8.608833972768642e-06,1.000000000074112,3.7056135937518775e-11,26986084077.576885,843417.6558647413,3.125379930782728e-05
6621779,0.03259986255200587,966088176321.9594,1000000000000.0,0.270575116519836,8.605716492776316e-06,1.0000000000740583,3.7029268540322846e-11,27005664422.21387,4045484.438636979,0.0001498013296539859
1277011,0.03360555742131709,995822723768.2112,1000000000000.0,0.9826447836426518,8.605120680327437e-06,1.000000000074048,3.702416151440957e-11,27009389520.159863,7947311.191221212,0.0002942425331490489
9796307,0.030343750816935588,898727829367.5084,920743213640.2792,1.2365443508064866,8.600921091650317e-06,1.000000000073976,3.698796824380679e-11,27035818604.809105,8049797.418247726,0.00029774565127522475
1575123,0.03138132003359695,929243013780.4034,984787247051.0333,0.01730005531578921,8.598924451911702e-06,1.0000000000739415,3.697087080922756e-11,27048321505.870777,984704.2054615293,3.6405371965421275e-05
5977171,0.03325002098527767,984442468392.2954,1000000000000.0,0.3516614668878685,8.597742888031402e-06,1.0000000000739213,3.696065675740101e-11,27055796290.734463,4703976.617663869,0.00017386206516031442
6654675,0.030219858127179033,894675597554.2375,913239825226.8286,7.837026244407624,8.597243105645175e-06,1.0000000000739127,3.6956437909907436e-11,27058884907.625683,20182683.538276736,0.0007458800910376351
3154131,0.031553195350786406,934009920293.3179,995604136844.8889,0.07310493931871258,8.595955911835732e-06,1.0000000000738904,3.6945335679661184e-11,27067016217.435833,2035295.8431709143,7.519468813336847e-05
4435155,0.031083600626490827,918469687121.4885,966190227907.181,1.2656638348238778,8.580637278662205e-06,1.0000000000736273,3.681366322894064e-11,27163827565.355175,8342598.530340963,0.00030712161275022734
4402259,0.0335316374090648,989408652538.7053,1000000000000.0,0.0557304833062903,8.568542976482549e-06,1.00000000007342,3.670996839844065e-11,27240557364.31736,1888478.3263285286,6.932597968066037e-05
