sample_index,g,m_gev,mmax_gev,alpha,kr,epsilon,cs_over_c,ppn_alpha2,frequency_hz,growth_rate_per_s,required_time_s,required_time_years
3136448,0.05342339540189581,987895705099.4022,1000000000000.0,5.635421834632761,0.79338950954686,5.369893186599591e-06,0.12682203041588222,1.7928414749376858e-09,48008925.973780066,0.008698275381354538,6.072719145515309e+21,192432857553023.97
1343648,0.02852352148312715,775854406053.7552,813591277798.416,3.7581240668551965,0.8391440256739965,7.898836519500304e-06,0.055295361120865576,2.040557577178456e-08,22139409.85428944,0.008679049381914168,6.086171551390139e+21,192859138571695.53
1454368,0.03475453852343871,655536846809.7062,1000000000000.0,8.98674310305489,0.9138106654809626,5.477364190410983e-06,0.10418679771444365,2.7638715585528155e-09,45426549.17542902,0.008563136198469773,6.168555797437331e+21,195469737794931.53
7569824,0.031128987210316334,751836006758.7999,969013844740.038,9.615460368515098,0.5999404627114246,7.0136512430871975e-06,0.09652727189857764,5.27944498925786e-09,27631153.81173411,0.008540183886496817,6.185134201247726e+21,195995075710691.75
3161504,0.03178451169529686,760956982002.7295,1000000000000.0,4.724106318582702,0.8513502577232621,6.952333535119932e-06,0.06908366591682434,1.0127691119204036e-08,28062378.738284428,0.008522471314591273,6.197988997731167e+21,196402419630490.5
8161472,0.04621986325390839,975738688471.4205,1000000000000.0,1.9297393781575434,1.1772636725995171,6.130429546172019e-06,0.06420635058151172,9.116451792449468e-09,36065550.31412301,0.008516364541838054,6.202433348386914e+21,196543252604346.12
7791264,0.03067519697594131,940122332678.5803,940967709512.7988,4.873657852195064,0.5287510543002354,8.899857355781632e-06,0.06771967709437055,1.7271749664430508e-08,17084684.356659185,0.008502622933958742,6.212457479485412e+21,196860898150854.7
7519552,0.039485343656182934,644979688982.2489,1000000000000.0,6.692412700973733,1.2151866855367597,4.743469942012482e-06,0.10214739123554097,2.1564418259170064e-09,59225824.663387425,0.00837304240721031,6.308600968726639e+21,199907501480677.84
6043552,0.03247192599340083,913059794572.8042,1000000000000.0,1.55571232337806,1.0250220808631056,8.165395172552281e-06,0.04050164796055828,4.0645177688995814e-08,19808279.25542746,0.00829814527691195,6.365540934584998e+21,201711820118925.34
2623808,0.04057745988935991,817443318984.2852,1000000000000.0,3.294343213092315,1.096235288545881,5.850039899660797e-06,0.07364941111500221,6.309269795459858e-09,38522449.22656786,0.008283453070531039,6.376831375943299e+21,202069592616146.3
392992,0.03568569259903789,523543018579.37115,1000000000000.0,7.738494833915517,1.519435461579973,4.260340190994073e-06,0.09927099585248095,1.8418056512896992e-09,71969000.486571,0.008207556819282102,6.435798691910418e+21,203938154102669.97
6652096,0.046980597877471914,572597509690.0715,1000000000000.0,9.600612794932452,1.4938012215355723,3.5392965451895827e-06,0.14556870434551933,5.911502414345859e-10,103753238.47475803,0.008166113917166847,6.46846027095864e+21,204973137087694.9
9220768,0.03049733046095977,811353698080.6227,930087165244.9847,6.755176277275489,0.5713257583791608,7.725639358266442e-06,0.07926476363483544,9.499670110083925e-09,21607514.258972395,0.008103143658772743,6.518727257677218e+21,206566001776979.8
7710592,0.054704338814149135,789831890055.5542,1000000000000.0,4.565289844852467,1.311716134756397,4.192749618067879e-06,0.11688423831586553,1.2867256368078355e-09,73153758.83797927,0.00808005600004723,6.53735363232723e+21,207156235972546.38
5348856,0.08361350551235455,967208652193.5463,1000000000000.0,8.275948045519074,0.9871249055122399,3.359152942754372e-06,0.2405388938584928,1.950243937761026e-10,113291741.7009078,0.008032258511889354,6.576255403524271e+21,208388958714359.5
8123936,0.038499633298872404,740806186372.3933,1000000000000.0,6.18737513680216,0.8899931127088114,5.587712390129036e-06,0.0957656623765942,3.404461713149285e-09,40666546.9328443,0.007977838746373605,6.621114454754675e+21,209810456269002.53
8763128,0.07941903914668956,898117598618.1603,1000000000000.0,4.740580782883768,1.4179377183018582,3.2839354707503748e-06,0.17291807983145976,3.6066867202507817e-10,116987212.79545604,0.007926975059144784,6.663599045941113e+21,211156711725261.53
6516384,0.03000713489699081,677898348864.1621,900428144726.2036,2.5632873094378965,1.2751523130066758,6.5603359836993336e-06,0.048042231800136566,1.8646864522906656e-08,29229815.35385651,0.007904203344582921,6.682796625863303e+21,211765046323652.72
832576,0.042597795057976104,710899902789.1923,1000000000000.0,5.425649194943082,1.1128318614888655,4.846267381791446e-06,0.09922314191231106,2.385551482840653e-09,52684560.43292146,0.0077745985434550646,6.794200773978714e+21,215295230751980.97
542656,0.05218314497440558,648151780352.2467,1000000000000.0,5.87033826184814,1.5700936268025865,3.6068867405027605e-06,0.12643339887098423,8.138444091924019e-10,94717057.6560399,0.007742354942952974,6.822495717455383e+21,216191843405562.62
149888,0.05754816687954556,898276343209.1816,1000000000000.0,7.387357909773422,0.8005048648082806,4.532778577628873e-06,0.15641415925437108,8.398019526059662e-10,59742153.68816894,0.007712403666741923,6.848991018079157e+21,217031428818387.84
