radius_m,radius_mpc,radial_eigenvalue_s-2,transverse_eigenvalue_s-2,tidal_trace_s-2
1.565747870874765885e+21,5.074243272422551687e-02,6.915280464470662453e-32,-3.457150001503349240e-32,9.804614639639725839e-36
1.567190931021264323e+21,5.078919911858745945e-02,6.896196302511410816e-32,-3.447607920523723422e-32,9.804614639639725839e-36
1.568635321153658814e+21,5.083600861485687572e-02,6.877164809775487440e-32,-3.438092174155761734e-32,9.804614639639725839e-36
1.570081042497722647e+21,5.088286125275837818e-02,6.858185840904270360e-32,-3.428602689720153194e-32,9.804614639639725839e-36
1.571528096280356323e+21,5.092975707205309177e-02,6.839259250940337028e-32,-3.419139394738186528e-32,9.804614639639725839e-36
1.572976483729592549e+21,5.097669611253884819e-02,6.820384895326309330e-32,-3.409702216931172679e-32,9.804614639639725839e-36
1.574426206074596229e+21,5.102367841405017201e-02,6.801562629903756637e-32,-3.400291084219896332e-32,9.804614639639725839e-36
1.575877264545662894e+21,5.107070401645823210e-02,6.782792310912131692e-32,-3.390905924724083860e-32,9.804614639639725839e-36
1.577329660374224994e+21,5.111777295967102897e-02,6.764073794987604685e-32,-3.381546666761820356e-32,9.804614639639725839e-36
1.578783394792846918e+21,5.116488528363324906e-02,6.745406939162042936e-32,-3.372213238849039482e-32,9.804614639639725839e-36
1.580238469035231019e+21,5.121204102832647292e-02,6.726791600861860293e-32,-3.362905569698948160e-32,9.804614639639725839e-36
1.581694884336217096e+21,5.125924023376912664e-02,6.708227637906945361e-32,-3.353623588221490694e-32,9.804614639639725839e-36
1.583152641931780293e+21,5.130648294001644016e-02,6.689714908509616000e-32,-3.344367223522826014e-32,9.804614639639725839e-36
1.584611743059038175e+21,5.135376918716066247e-02,6.671253271273457783e-32,-3.335136404904746905e-32,9.804614639639725839e-36
1.586072188956245492e+21,5.140109901533090192e-02,6.652842585192326661e-32,-3.325931061864181344e-32,9.804614639639725839e-36
1.587533980862800986e+21,5.144847246469332058e-02,6.634482709649198368e-32,-3.316751124092617198e-32,9.804614639639725839e-36
1.588997120019244253e+21,5.149588957545109258e-02,6.616173504415145913e-32,-3.307596521475590970e-32,9.804614639639725839e-36
1.590461607667257573e+21,5.154335038784437634e-02,6.597914829648262330e-32,-3.298467184092149178e-32,9.804614639639725839e-36
1.591927445049668796e+21,5.159085494215048806e-02,6.579706545892562625e-32,-3.289363042214299326e-32,9.804614639639725839e-36
1.593394633410451603e+21,5.163840327868388091e-02,6.561548514076937191e-32,-3.280284026306486609e-32,9.804614639639725839e-36
1.594863173994723934e+21,5.168599543779606176e-02,6.543440595514116151e-32,-3.271230067025076089e-32,9.804614639639725839e-36
1.596333068048754278e+21,5.173363145987585482e-02,6.525382651899549421e-32,-3.262201095217792724e-32,9.804614639639725839e-36
1.597804316819956695e+21,5.178131138534918659e-02,6.507374545310419227e-32,-3.253197041923227627e-32,9.804614639639725839e-36
1.599276921556897104e+21,5.182903525467932870e-02,6.489416138204528923e-32,-3.244217838370282475e-32,9.804614639639725839e-36
1.600750883509292499e+21,5.187680310836684239e-02,6.471507293419269534e-32,-3.235263415977652781e-32,9.804614639639725839e-36
1.602226203928008589e+21,5.192461498694953687e-02,6.453647874170619137e-32,-3.226333706353327582e-32,9.804614639639725839e-36
1.603702884065067926e+21,5.197247093100269832e-02,6.435837744052007592e-32,-3.217428641294021810e-32,9.804614639639725839e-36
1.605180925173643346e+21,5.202037098113888175e-02,6.418076767033367386e-32,-3.208548152784701707e-32,9.804614639639725839e-36
1.606660328508065055e+21,5.206831517800817460e-02,6.400364807460024629e-32,-3.199692172998030328e-32,9.804614639639725839e-36
1.608141095323819573e+21,5.211630356229811356e-02,6.382701730051690781e-32,-3.190860634293863404e-32,9.804614639639725839e-36
1.609623226877548429e+21,5.216433617473367063e-02,6.365087399901449994e-32,-3.182053469218743011e-32,9.804614639639725839e-36
1.611106724427052876e+21,5.221241305607743355e-02,6.347521682474690620e-32,-3.173270610505363324e-32,9.804614639639725839e-36
1.612591589231292318e+21,5.226053424712947398e-02,6.330004443608106788e-32,-3.164511991072071408e-32,9.804614639639725839e-36
1.614077822550387720e+21,5.230869978872753484e-02,6.312535549508648525e-32,-3.155777544022342276e-32,9.804614639639725839e-36
1.615565425645621608e+21,5.235690972174700947e-02,6.295114866752512382e-32,-3.147067202644274205e-32,9.804614639639725839e-36
1.617054399779436757e+21,5.240516408710087226e-02,6.277742262284146293e-32,-3.138380900410091160e-32,9.804614639639725839e-36
1.618544746215442219e+21,5.245346292573990765e-02,6.260417603415179990e-32,-3.129718570975608009e-32,9.804614639639725839e-36
1.620036466218409132e+21,5.250180627865255745e-02,6.243140757823468182e-32,-3.121080148179752105e-32,9.804614639639725839e-36
1.621529561054275699e+21,5.255019418686508736e-02,6.225911593552040671e-32,-3.112465566044038349e-32,9.804614639639725839e-36
1.623024031990147973e+21,5.259862669144160091e-02,6.208729979008090794e-32,-3.103874758772063411e-32,9.804614639639725839e-36
1.624519880294296715e+21,5.264710383348396305e-02,6.191595782962028449e-32,-3.095307660749032238e-32,9.804614639639725839e-36
1.626017107236165255e+21,5.269562565413201533e-02,6.174508874546388616e-32,-3.086764206541212322e-32,9.804614639639725839e-36
1.627515714086363202e+21,5.274419219456342317e-02,6.157469123254923798e-32,-3.078244330895479912e-32,9.804614639639725839e-36
1.629015702116673520e+21,5.279280349599387023e-02,6.140476398941534433e-32,-3.069747968738785230e-32,9.804614639639725839e-36
1.630517072600052531e+21,5.284145959967704448e-02,6.123530571819293463e-32,-3.061275055177664745e-32,9.804614639639725839e-36
1.632019826810625458e+21,5.289016054690454799e-02,6.106631512459511403e-32,-3.052825525497773715e-32,9.804614639639725839e-36
1.633523966023696646e+21,5.293890637900616758e-02,6.089779091790645957e-32,-3.044399315163340992e-32,9.804614639639725839e-36
1.635029491515741700e+21,5.298769713734967357e-02,6.072973181097417445e-32,-3.035996359816726736e-32,9.804614639639725839e-36
1.636536404564415611e+21,5.303653286334102795e-02,6.056213652019749075e-32,-3.027616595277892551e-32,9.804614639639725839e-36
