candidate_pass,g_s,gate_energy_fraction,gate_gradient_floor_J,gate_radius_m,gate_total_positive_floor_J,gate_volume_energy_J,lambda_on_max,lambda_s,lambda_width_min,m_s_out_eV,naive_naturalness_cutoff_eV,naturalness_cutoff_over_mX,off_phi_mass_eV,off_phi_range_m,on_curvature_ratio,phi_boundary_eV,required_delta_m2_hat,source_scale_naturalness_pass,v_s_eV,wall_cap_m,wall_width_actual_m
False,2.753182604958582,9.207476646342743e-34,6.519797428627326e-23,2.0980500914943576,1.11920181374299e-22,4.672220708802573e-23,5.4112095157214745e+32,0.46175144434874016,0.43976328033213347,8.087999411817097e-07,3.6916112267512176e-06,0.6173670231807297,2.3179366180618384e-06,0.08513044699427397,1.406265534918729e+33,7789772293.110485,0.1501650749306419,False,8.416315005661469e-07,0.25,0.24397501823713333
False,2.9951942176623927,7.779661173208549e-34,5.508763894918365e-23,2.0980500914943576,9.456457213844136e-23,3.94769331892577e-23,7.579738737288763e+32,0.5464975331955997,0.5204738411386663,8.087999411817097e-07,3.3933291383333183e-06,0.5674837842144344,2.3179366180618384e-06,0.08513044699427397,1.66436002584682e+33,7789772293.110485,0.1501650749306419,False,7.736276978233292e-07,0.25,0.24397501823713333
False,3.2584792542858563,6.57325891713977e-34,4.654512656591126e-23,2.0980500914943576,7.990031997732269e-23,3.3355193411411426e-23,1.0617300837943203e+33,0.6467972270451877,0.6159973590906549,8.087999411817097e-07,3.119148234684337e-06,0.5216311096228742,2.3179366180618384e-06,0.08513044699427397,1.9698230717123537e+33,7789772293.110485,0.1501650749306419,False,7.111186005238955e-07,0.25,0.24397501823713333
False,3.5449077018110318,5.553935040327424e-34,3.9327312775833065e-23,2.0980500914943576,6.751007262140834e-23,2.8182759845575285e-23,1.4872158657504104e+33,0.7655051075292036,0.7290524833611463,8.087999411817098e-07,2.867121140719353e-06,0.479483329912338,2.3179366180618384e-06,0.08513044699427397,2.3313483102167395e+33,7789772293.110485,0.1501650749306419,False,6.536602366149351e-07,0.25,0.2439750182371333
True,1e-06,2.7612475561444577e-21,2.4710079380397033e-10,2.0980500914943576,3.35639545092715e-10,8.853875128874472e-11,9417904.490593484,1.5229240228170702e-14,1.4504038312543526e-14,4.043999705908549e-07,5.081839906880633,849862.0745481235,2.3179366180618384e-06,0.08513044699427397,7.420912152798634e+20,7789772293.110485,0.1501650749306419,True,2.317165207143905,0.5,0.4879500364742666
True,1.0879024922894468e-06,2.333057278042254e-21,2.0878254979765054e-10,2.0980500914943576,2.8359148086336343e-10,7.480893106571286e-11,13192107.103603711,1.802429059832607e-14,1.7165991046024827e-14,4.0439997059085487e-07,4.671227378279193,781193.2416476251,2.3179366180618384e-06,0.08513044699427397,8.782885760727052e+20,7789772293.110485,0.1501650749306419,True,2.1299383203613442,0.5,0.48795003647426666
True,1.1835318327295895e-06,1.971267027656962e-21,1.7640636611871577e-10,2.0980500914943576,2.3961457818106514e-10,6.320821206234937e-11,18478812.352235317,2.133232168548756e-14,2.0316496843321485e-14,4.043999705908549e-07,4.293792331010094,718072.8486094703,2.3179366180618384e-06,0.08513044699427397,1.0394824881047903e+21,7789772293.110485,0.1501650749306419,True,1.9578393610248799,0.5,0.4879500364742666
True,1.287567230530417e-06,1.6655800656502937e-21,1.4905079968307083e-10,2.0980500914943576,2.0245723144466676e-10,5.34064317615959e-11,25884152.03632221,2.524748178080225e-14,2.404522074362119e-14,4.043999705908548e-07,3.946854025468754,660052.5816411312,2.3179366180618384e-06,0.08513044699427397,1.2302606142369764e+21,7789772293.110485,0.1501650749306419,True,1.7996459930013455,0.5,0.4879500364742667
True,1.4007475990842613e-06,1.407296381550593e-21,1.259372967935418e-10,2.0980500914943576,1.710619231742486e-10,4.512462638070679e-11,36257163.81921035,2.988119838383983e-14,2.845828417508555e-14,4.043999705908549e-07,3.6279483257389735,606720.3506925307,2.3179366180618384e-06,0.08513044699427397,1.4560525995029192e+21,7789772293.110485,0.1501650749306419,True,1.654234644884454,0.5,0.4879500364742666
True,1.5238768041122235e-06,1.1890650869144258e-21,1.0640803509534008e-10,2.0980500914943576,1.4453512651174556e-10,3.8127091416405476e-11,50787135.169363216,3.536534948738225e-14,3.368128522607833e-14,4.0439997059085487e-07,3.3348101980206977,557697.36257862,2.3179366180618384e-06,0.08513044699427397,1.7232846016403664e+21,7789772293.110485,0.1501650749306419,True,1.5205725298075086,0.5,0.48795003647426666
