i,j,r_over_h,z_over_h,payload_surface_distance_over_h,rho,cell_energy,S,S_over_rho,kernel_cell_integral,signed_force,gross_outward_force,lambda_min_over_rho,lambda_mid_over_rho,lambda_max_over_rho,dec_ratio,in_teacher_F50,in_teacher_F90
0,19,0.03493418511502632,-1.9912485515565006,2.9481536784270967,4.443746091497744e-10,4.761468849833178e-13,2.3016651719526647e-10,0.5179560498194214,-0.00011972041953766563,-2.7555632002140633e-14,0.0,-0.3708641774348056,-0.34850616819956537,0.2373263954537924,0.3708641774348056,0,0
0,20,0.03493418511502632,-1.9213801813264477,2.878290186466408,4.6312198694867953e-10,4.962346788328206e-13,2.1701147548538316e-10,0.4685838323401197,-0.00012551376005326715,-2.723792626287785e-14,0.0,-0.41407303576369475,-0.3913735072616686,0.274030375365483,0.41407303576369475,0,0
0,21,0.03493418511502632,-1.8515118110963953,2.808426933536307,4.821712717326674e-10,5.166459656712161e-13,2.2561434139331547e-10,0.4679132802387363,-0.00013173797570856802,-2.9721976625977167e-14,0.0,-0.4364956236498338,-0.41558856747808054,0.31999747136665063,0.4364956236498338,0,0
0,22,0.03493418511502632,-1.7816434408663424,2.738563937645719,5.158471167349437e-10,5.527295950390014e-13,2.0448736744541114e-10,0.39641079849338834,-0.00013843687363158176,-2.8308591846295207e-14,0.0,-0.49293525982952685,-0.47289586800567057,0.36224192632858576,0.49293525982952685,0,0
0,23,0.03493418511502632,-1.71177507063629,2.668701218659192,5.542375411463686e-10,5.938648908464305e-13,2.0352107437487605e-10,0.3672091102921666,-0.00014565997252087245,-2.9644874100862885e-14,0.0,-0.5314514585106851,-0.5153595713328352,0.41402014013568683,0.5314514585106851,0,0
0,24,0.03493418511502632,-1.6419067004062375,2.598838798542202,6.245951228959466e-10,6.692529591456485e-13,1.5646395049418454e-10,0.25050459851293205,-0.00015346342001531382,-2.401149295194431e-14,0.0,-0.6075980124377199,-0.5932896572386493,0.45139226818930134,0.6075980124377199,0,0
0,25,0.03493418511502632,-1.5720383301761847,2.5289767016464344,7.629978563434709e-10,8.175513295910307e-13,9.534734842176769e-11,0.12496411048741683,-0.0001619110866602269,-1.5437792793139676e-14,0.0,-0.6935556545160835,-0.6912205466154272,0.5097403116189274,0.6935556545160835,0,0
0,26,0.03493418511502632,-1.5021699599461322,2.459114955042847,1.093858140080453e-09,1.1720677448458978e-12,-9.318779148776162e-11,-0.08519184350624083,-0.0001710758764123381,1.5942183099699038e-14,1.5942183099699038e-14,-0.8082132686368304,-0.8058071979986121,0.5288286231292018,0.8082132686368304,0,0
0,27,0.03493418511502632,-1.4323015897160793,2.3892535889121134,2.2034144344763074e-09,2.3609560440694795e-12,-4.1683709901523164e-10,-0.18917780173038698,-0.0001810413040828543,7.54647319958314e-14,7.54647319958314e-14,-0.9325049931198889,-0.8867899330979963,0.630117124487498,0.9325049931198889,0,0
0,28,0.03493418511502632,-1.3624332194860267,2.3193926370043276,6.070574354784561e-09,6.504613471549783e-12,-3.085725833063145e-09,-0.5083087122771358,-0.00019190340370706793,5.921612902716453e-13,5.921612902716453e-13,-0.975360099636843,-0.9438534249413054,0.41090481230101256,0.975360099636843,0,0
0,29,0.03493418511502632,-1.292564849255974,2.249532137182738,7.489135510733193e-09,8.02460012617793e-12,1.1161410433222017e-10,0.014903469722541186,-0.00020377304961382317,-2.2743946419691936e-14,0.0,-0.9851130829023989,-0.8905857340018669,0.8906022866268072,0.9851130829023989,0,0
0,30,0.03493418511502632,-1.2226964790259214,2.179672132069989,0.28169711969610867,0.00030183814126713023,-0.032989208073493675,-0.11710878729992703,-0.00021677879541907912,7.151360788001318e-06,7.151360788001318e-06,-0.9999999996464719,-0.9010160231536144,0.7839072355001594,0.9999999996464719,0,0
0,31,0.03493418511502632,-1.1528281087958687,2.109812669820154,1.1332882766031185,0.0012143170909902554,0.6433394010605337,0.5676749811520669,-0.0002310703673349296,-0.0001486566717240911,0.0,-0.7199855605093206,-0.7123394579826993,0.9999999996440868,0.9999999996440868,0,0
0,32,0.03493418511502632,-1.0829597385658163,2.0399538050460673,1.669855319407109,0.001789248063092039,6.413450829015258,3.8407224592920945,-0.0002468229899560743,-0.0015829871095538095,0.0,0.8407224593758383,0.9999999999304153,0.9999999999858411,0.9999999999858411,0,0
0,33,0.03493418511502632,-1.0130913683357636,1.9700955999396825,0.9794355229752391,0.0010494640416088344,1.2079482095011678,1.2333105969362577,-0.00026424277916603576,-0.0003191915919672254,0.0,-0.3884168353718946,-0.37827256736688425,0.9999999996750364,0.9999999996750364,0,0
0,34,0.03493418511502632,-0.943222998105711,1.9002381256339946,0.20455326789242406,0.00021917859237386848,-0.09189175151250721,-0.4492314029460224,-0.0002835735139001163,2.6058066874838e-05,2.6058066874838e-05,-0.999999999938253,-0.8723853993325231,0.4231539963247537,0.999999999938253,0,0
0,35,0.03493418511502632,-0.8733546278756583,1.8303814638695628,0.023661517546610628,2.5353288963455444e-05,0.020674807002857298,0.8737735000356662,-0.00030510520479727263,-6.3079912247508624e-06,0.0,-0.9999999985910223,0.39222405303895874,0.4815494455877297,0.9999999985910223,0,0
0,36,0.03493418511502632,-0.8034862576456057,1.7605257090481743,0.0008531860367391699,9.141878616374661e-07,0.001300468489331312,1.5242496165333776,-0.0003291850259089733,-4.2809475335433125e-07,0.0,-0.9999997550479819,0.5242494273219755,0.9999999442593839,0.9999999442593839,0,0
