mode,beta,f,reset_duty,A,C
UNRESTRICTED_CONVERSION,0.264418410041841,0.9429149525240064,0.3164733213440814,0.1486703457028054,7.35010667208827
HEADON_KINETIC_LIMITED,0.264418410041841,0.03559194091352347,0.012155520284259957,-0.18944989502925277,inf
UNRESTRICTED_CONVERSION,0.26838912133891213,0.9429149525240064,0.3169531253626171,0.1484356809734283,7.379172834921573
HEADON_KINETIC_LIMITED,0.26838912133891213,0.03668941688211136,0.012411405230828997,-0.1894942330561593,inf
UNRESTRICTED_CONVERSION,0.2723598326359833,0.9429149525240064,0.31743286015483474,0.14819873434621295,7.4087055655042615
HEADON_KINETIC_LIMITED,0.2723598326359833,0.03780453047912391,0.012923171209141743,-0.18957312162338902,inf
UNRESTRICTED_CONVERSION,0.2763305439330544,0.9429149525240064,0.3179125257947012,0.1479595082198332,7.4387083511685494
HEADON_KINETIC_LIMITED,0.2763305439330544,0.03893734309897234,0.013179052187531006,-0.18961505832610492,inf
UNRESTRICTED_CONVERSION,0.28030125523012556,0.9429149525240064,0.31839212235686676,0.14771800499431292,7.469184743249499
HEADON_KINETIC_LIMITED,0.28030125523012556,0.04008791740263207,0.013690809989409795,-0.18969137249377424,inf
UNRESTRICTED_CONVERSION,0.28427196652719666,0.9429149525240064,0.31887164991666417,0.1474742270710355,7.500138358074124
HEADON_KINETIC_LIMITED,0.28427196652719666,0.041256317336713644,0.014202562073634562,-0.1897662932847616,inf
UNRESTRICTED_CONVERSION,0.28824267782426777,0.9429149525240064,0.3193511085501081,0.14722817685275388,7.531572877973989
HEADON_KINETIC_LIMITED,0.28824267782426777,0.04244260815306988,0.01445843590496724,-0.18980415702909909,inf
UNRESTRICTED_CONVERSION,0.29221338912133893,0.9429149525240064,0.3200701674313216,0.14694217283096267,7.565431740351851
HEADON_KINETIC_LIMITED,0.29221338912133893,0.043646856428954384,0.014970179012780563,-0.1898761271942456,inf
UNRESTRICTED_CONVERSION,0.29618410041841003,0.9429149525240064,0.3205494540859197,0.14669160448736915,7.597850028291115
HEADON_KINETIC_LIMITED,0.29618410041841003,0.044869130087746956,0.015481915869770548,-0.18994651017769523,inf
UNRESTRICTED_CONVERSION,0.3001548117154812,0.9429149525240064,0.32102867208558183,0.14643877144473677,7.630760839849319
HEADON_KINETIC_LIMITED,0.3001548117154812,0.04610949842026202,0.01573778188758601,-0.18997972409149144,inf
UNRESTRICTED_CONVERSION,0.3041255230125523,0.9429149525240064,0.32150782150938667,0.1461836761117142,7.6641681338659335
HEADON_KINETIC_LIMITED,0.3041255230125523,0.047368032106657854,0.01624950896864498,-0.19004675953450623,inf
UNRESTRICTED_CONVERSION,0.3080962343096234,0.9429149525240064,0.3219869024370926,0.14592632089837462,7.698075940656764
HEADON_KINETIC_LIMITED,0.3080962343096234,0.04864480323896392,0.01676122926603018,-0.1901120034533372,inf
UNRESTRICTED_CONVERSION,0.31206694560669457,0.9429149525240064,0.3225856552618728,0.1456479135006197,7.733486179875978
HEADON_KINETIC_LIMITED,0.31206694560669457,0.04993988534424387,0.017272942566696828,-0.1901753851949593,inf
UNRESTRICTED_CONVERSION,0.3160376569037657,0.9429149525240064,0.32306458237105046,0.1453860563288254,7.768413142026236
HEADON_KINETIC_LIMITED,0.3160376569037657,0.05125335340841508,0.017784648657657262,-0.19023683287398216,inf
UNRESTRICTED_CONVERSION,0.32000836820083683,0.9429149525240064,0.32366314744472124,0.14510317331340558,7.804862895537417
